Ship Mode,Region,Division,Factory,Product ID,Country/Region,Sales,Units,Gross Profit,Cost,Factory_Lat,Factory_Lon,Dest_Lat,Dest_Lon,Shipping_Distance_Miles,Ship Mode_enc,Region_enc,Division_enc,Factory_enc,Product ID_enc,Country/Region_enc,Sales_scaled,Units_scaled,Gross Profit_scaled,Cost_scaled,Factory_Lat_scaled,Factory_Lon_scaled,Dest_Lat_scaled,Dest_Lon_scaled,Shipping_Distance_Miles_scaled,Lead_Time
Standard Class,Interior,Chocolate,Wicked Choccy's,CHO-MIL-31000,United States,6.5,2,4.22,2.28,32.076176,-81.088371,31.1,-97.6,973.2089808386704,3,2,0,4,1,1,-0.8950833270006586,-0.8300501283741505,-0.9114902825422762,-0.8268046219587886,-0.46101816903483744,1.1745497289985671,-1.4697543929242076,-0.17196407611585407,-0.39942517186232396,909
Standard Class,Interior,Chocolate,Wicked Choccy's,CHO-TRI-54000,United States,7.5,2,4.9,2.6,32.076176,-81.088371,40.0,-89.2,710.052264607459,3,2,0,4,4,1,-0.7472269258441036,-0.8300501283741505,-0.7645963910658201,-0.6825633805584559,-0.46101816903483744,1.1745497289985671,0.2811216540706179,0.30968796108247465,-0.7959718075952291,909
Standard Class,Interior,Chocolate,Lot's O' Nuts,CHO-NUT-13000,United States,10.47,3,7.47,3.0,32.881893,-111.768036,40.0,-89.2,1342.7145079010913,3,2,0,0,2,1,-0.30809341440913524,-0.30730129318139177,-0.2094238894562735,-0.5022618288080404,0.11699526121604702,-0.8676358430165786,0.2811216540706179,0.30968796108247465,0.15737678151278212,909
Standard Class,Interior,Chocolate,Lot's O' Nuts,CHO-SCR-58000,United States,10.8,3,7.5,3.3,32.881893,-111.768036,40.0,-89.2,1342.7145079010913,3,2,0,0,3,1,-0.2593008020274721,-0.30730129318139177,-0.20294327659701802,-0.3670356649952287,0.11699526121604702,-0.8676358430165786,0.2811216540706179,0.30968796108247465,0.15737678151278212,909
Standard Class,Atlantic,Chocolate,Wicked Choccy's,CHO-TRI-54000,United States,11.25,3,7.35,3.9,32.076176,-81.088371,40.6,-77.2,627.2644398314413,3,0,0,4,4,1,-0.19276542150702244,-0.30730129318139177,-0.23534634089329518,-0.09658333736960521,-0.46101816903483744,1.1745497289985671,0.3991582415084716,0.9977622999372306,-0.9207234531725781,912
Standard Class,Gulf,Chocolate,Lot's O' Nuts,CHO-SCR-58000,United States,32.4,9,22.5,9.9,32.881893,-111.768036,37.5,-85.3,1522.8654217071462,3,1,0,0,3,1,2.934397462954115,2.829191717975161,3.037363153030687,2.6079399388866293,0.11699526121604702,-0.8676358430165786,-0.2106974602537714,0.5333121212102707,0.4288433046443198,909
Standard Class,Gulf,Chocolate,Wicked Choccy's,CHO-TRI-54000,United States,7.5,2,4.9,2.6,32.076176,-81.088371,37.5,-85.3,444.34567535078514,3,1,0,4,4,1,-0.7472269258441036,-0.8300501283741505,-0.7645963910658201,-0.6825633805584559,-0.46101816903483744,1.1745497289985671,-0.2106974602537714,0.5333121212102707,-1.1963608061006843,909
First Class,Gulf,Chocolate,Wicked Choccy's,CHO-MIL-31000,United States,9.75,3,6.33,3.42,32.076176,-81.088371,32.7,-83.4,141.58975927927145,0,1,0,4,1,1,-0.4145500232418549,-0.30730129318139177,-0.455687178107979,-0.31294519947010396,-0.46101816903483744,1.1745497289985671,-1.1549901597565984,0.6422572248622732,-1.6525788410639635,906
Standard Class,Gulf,Chocolate,Lot's O' Nuts,CHO-NUT-13000,United States,6.98,2,4.98,2.0,32.881893,-111.768036,37.5,-85.3,1522.8654217071462,3,1,0,0,2,1,-0.8241122544455122,-0.8300501283741505,-0.7473147567744723,-0.9530157081840794,0.11699526121604702,-0.8676358430165786,-0.2106974602537714,0.5333121212102707,0.4288433046443198,909
Standard Class,Gulf,Chocolate,Wicked Choccy's,CHO-MIL-31000,United States,13.0,4,8.44,4.56,32.076176,-81.088371,37.5,-85.3,444.34567535078514,3,1,0,4,1,1,0.06598328051694877,0.21544754201136698,0.000115926326318019,0.20091422301858045,-0.46101816903483744,1.1745497289985671,-0.2106974602537714,0.5333121212102707,-1.1963608061006843,909
Standard Class,Gulf,Chocolate,Wicked Choccy's,CHO-MIL-31000,United States,3.25,1,2.11,1.14,32.076176,-81.088371,37.5,-85.3,444.34567535078514,3,1,0,4,1,1,-1.3756166307594622,-1.352798963566909,-1.3672933869765733,-1.3406640444474731,-0.46101816903483744,1.1745497289985671,-0.2106974602537714,0.5333121212102707,-1.1963608061006843,909
Second Class,Pacific,Chocolate,Wicked Choccy's,CHO-MIL-31000,United States,9.75,3,6.33,3.42,32.076176,-81.088371,36.8,-119.4,2192.70126305183,2,3,0,4,1,1,-0.4145500232418549,-0.30730129318139177,-0.455687178107979,-0.31294519947010396,-0.46101816903483744,1.1745497289985671,-0.34840681226460096,-1.4219657917019948,1.4382081925432015,907
Standard Class,Gulf,Chocolate,Lot's O' Nuts,CHO-SCR-58000,United States,14.4,4,10.0,4.4,32.881893,-111.768036,37.5,-85.3,1522.8654217071462,3,1,0,0,3,1,0.27298224213612576,0.21544754201136698,0.3371077950075994,0.12879360231841452,0.11699526121604702,-0.8676358430165786,-0.2106974602537714,0.5333121212102707,0.4288433046443198,909
Standard Class,Gulf,Chocolate,Lot's O' Nuts,CHO-FUD-51000,United States,7.2,2,4.8,2.4,32.881893,-111.768036,37.5,-85.3,1522.8654217071462,3,1,0,0,0,1,-0.79158384619107,-0.8300501283741505,-0.7861984339300049,-0.7727141564336638,0.11699526121604702,-0.8676358430165786,-0.2106974602537714,0.5333121212102707,0.4288433046443198,909
Standard Class,Interior,Chocolate,Wicked Choccy's,CHO-MIL-31000,United States,9.75,3,6.33,3.42,32.076176,-81.088371,31.1,-97.6,973.2089808386704,3,2,0,4,1,1,-0.4145500232418549,-0.30730129318139177,-0.455687178107979,-0.31294519947010396,-0.46101816903483744,1.1745497289985671,-1.4697543929242076,-0.17196407611585407,-0.39942517186232396,910
Standard Class,Interior,Chocolate,Wicked Choccy's,CHO-TRI-54000,United States,26.25,7,17.15,9.1,32.076176,-81.088371,31.1,-97.6,973.2089808386704,3,2,0,4,4,1,2.025080595841302,1.7836940475896432,1.881653859796805,2.247336835385798,-0.46101816903483744,1.1745497289985671,-1.4697543929242076,-0.17196407611585407,-0.39942517186232396,910
Standard Class,Interior,Chocolate,Wicked Choccy's,CHO-TRI-54000,United States,7.5,2,4.9,2.6,32.076176,-81.088371,31.1,-97.6,973.2089808386704,3,2,0,4,4,1,-0.7472269258441036,-0.8300501283741505,-0.7645963910658201,-0.6825633805584559,-0.46101816903483744,1.1745497289985671,-1.4697543929242076,-0.17196407611585407,-0.39942517186232396,909
Standard Class,Interior,Chocolate,Wicked Choccy's,CHO-TRI-54000,United States,11.25,3,7.35,3.9,32.076176,-81.088371,31.1,-97.6,973.2089808386704,3,2,0,4,4,1,-0.19276542150702244,-0.30730129318139177,-0.23534634089329518,-0.09658333736960521,-0.46101816903483744,1.1745497289985671,-1.4697543929242076,-0.17196407611585407,-0.39942517186232396,909
Standard Class,Gulf,Chocolate,Wicked Choccy's,CHO-MIL-31000,United States,3.25,1,2.11,1.14,32.076176,-81.088371,37.5,-79.5,385.42109118225153,3,1,0,4,1,1,-1.3756166307594622,-1.352798963566909,-1.3672933869765733,-1.3406640444474731,-0.46101816903483744,1.1745497289985671,-0.2106974602537714,0.8658813849900693,-1.285153317075257,910
Standard Class,Gulf,Other,Secret Factory,OTH-GUM-21000,United States,1.25,1,0.65,0.6,41.446333,-90.565487,37.5,-79.5,649.4652366551921,3,1,1,1,6,1,-1.6713294330725723,-1.352798963566909,-1.6826832127936697,-1.584071139310534,6.261040059300088,0.5437074574315892,-0.2106974602537714,0.8658813849900693,-0.8872694284487204,910
First Class,Atlantic,Chocolate,Wicked Choccy's,CHO-MIL-31000,United States,6.5,2,4.22,2.28,32.076176,-81.088371,39.0,-75.5,572.0602766963383,0,0,0,4,1,1,-0.8950833270006586,-0.8300501283741505,-0.9114902825422762,-0.8268046219587886,-0.46101816903483744,1.1745497289985671,0.08439400834086219,1.0952394979416546,-1.00390972135219,908
Standard Class,Pacific,Chocolate,Wicked Choccy's,CHO-MIL-31000,United States,9.75,3,6.33,3.42,32.076176,-81.088371,36.8,-119.4,2192.70126305183,3,3,0,4,1,1,-0.4145500232418549,-0.30730129318139177,-0.455687178107979,-0.31294519947010396,-0.46101816903483744,1.1745497289985671,-0.34840681226460096,-1.4219657917019948,1.4382081925432015,910
Second Class,Gulf,Chocolate,Lot's O' Nuts,CHO-NUT-13000,United States,20.94,6,14.94,6.0,32.881893,-111.768036,33.8,-81.2,1759.1135700195364,2,1,0,0,2,1,1.2399631056999956,1.2609452123968845,1.4042487124983234,0.8499998093200769,0.11699526121604702,-0.8676358430165786,-0.9385897494538681,0.7684041869856454,0.7848418508835723,908
Standard Class,Pacific,Chocolate,Wicked Choccy's,CHO-MIL-31000,United States,16.25,5,10.55,5.7,32.076176,-81.088371,36.8,-119.4,2192.70126305183,3,3,0,4,1,1,0.5465165842757524,0.7381963772041257,0.4559190307606154,0.7147736455072653,-0.46101816903483744,1.1745497289985671,-0.34840681226460096,-1.4219657917019948,1.4382081925432015,910
Standard Class,Atlantic,Chocolate,Lot's O' Nuts,CHO-SCR-58000,United States,7.2,2,5.0,2.2,32.881893,-111.768036,40.4,-82.8,1679.099176164341,3,0,0,0,3,1,-0.79158384619107,-0.8300501283741505,-0.7429943482016355,-0.8628649323088715,0.11699526121604702,-0.8676358430165786,0.35981271236251994,0.6766609418050116,0.6642694438863379,910
Second Class,Gulf,Chocolate,Wicked Choccy's,CHO-TRI-54000,United States,11.25,3,7.35,3.9,32.076176,-81.088371,31.2,-91.8,632.7503765517422,2,1,0,4,4,1,-0.19276542150702244,-0.30730129318139177,-0.23534634089329518,-0.09658333736960521,-0.46101816903483744,1.1745497289985671,-1.4500816283512326,0.16060518766394452,-0.9124567831007128,907
Second Class,Gulf,Other,The Other Factory,OTH-KAZ-38000,United States,9.75,3,0.75,9.0,35.1175,-89.971107,31.2,-91.8,290.59671640906583,2,1,1,3,7,1,-0.4145500232418549,-0.30730129318139177,-1.6610811699294852,2.202261447448194,1.7207976766583026,0.5832722395207797,-1.4500816283512326,0.16060518766394452,-1.4280426468263752,907
Second Class,Gulf,Chocolate,Wicked Choccy's,CHO-MIL-31000,United States,6.5,2,4.22,2.28,32.076176,-81.088371,31.2,-91.8,632.7503765517422,2,1,0,4,1,1,-0.8950833270006586,-0.8300501283741505,-0.9114902825422762,-0.8268046219587886,-0.46101816903483744,1.1745497289985671,-1.4500816283512326,0.16060518766394452,-0.9124567831007128,907
Standard Class,Atlantic,Chocolate,Lot's O' Nuts,CHO-SCR-58000,United States,25.2,7,17.5,7.7,32.881893,-111.768036,40.4,-82.8,1679.099176164341,3,0,0,0,3,1,1.8698313746269193,1.7836940475896432,1.9572610098214518,1.6162814042593434,0.11699526121604702,-0.8676358430165786,0.35981271236251994,0.6766609418050116,0.6642694438863379,910
Second Class,Gulf,Chocolate,Wicked Choccy's,CHO-MIL-31000,United States,19.5,6,12.66,6.84,32.076176,-81.088371,31.2,-91.8,632.7503765517422,2,1,0,4,1,1,1.0270498880345562,1.2609452123968845,0.9117221351949124,1.2286330679959496,-0.46101816903483744,1.1745497289985671,-1.4500816283512326,0.16060518766394452,-0.9124567831007128,907
Standard Class,Pacific,Chocolate,Lot's O' Nuts,CHO-NUT-13000,United States,17.45,5,12.45,5.0,32.881893,-111.768036,36.8,-119.4,510.2265735683594,3,3,0,0,2,1,0.7239442656636182,0.7381963772041257,0.8663578451801244,0.3992459299440378,0.11699526121604702,-0.8676358430165786,-0.34840681226460096,-1.4219657917019948,-1.097085937036398,910
Second Class,Gulf,Chocolate,Lot's O' Nuts,CHO-SCR-58000,United States,21.6,6,15.0,6.6,32.881893,-111.768036,31.2,-91.8,1173.503304826532,2,1,0,0,3,1,1.3375483304633218,1.2609452123968845,1.4172099382168344,1.1204521369457001,0.11699526121604702,-0.8676358430165786,-1.4500816283512326,0.16060518766394452,-0.09760486694561885,907
