Product ID,Product Name,Division,Current Factory,Alternate Factory,Current Avg LT (days),Simulated Avg LT (days),LT Reduction (days),LT Reduction (%),Current Avg Dist (mi),Simulated Avg Dist (mi),Distance Delta (mi),Avg Gross Profit ($),Profit Impact ($),Current Route Cluster,Alternate Route Cluster,Confidence Score,Risk,Order Count
CHO-FUD-51000,Fudge Mallows,Chocolate,Lot's O' Nuts,Wicked Choccy's,1315.1,1322.8,-7.6,-0.58,1326.3,1148.7,177.6,8.48,619.4,Fast,Moderate,0.6154,High,1744
CHO-FUD-51000,Fudge Mallows,Chocolate,Lot's O' Nuts,Sugar Shack,1315.1,1436.1,-120.9,-9.19,1326.3,1107.7,218.6,8.48,762.41,Fast,Slowest,0.5404,High,1744
CHO-FUD-51000,Fudge Mallows,Chocolate,Lot's O' Nuts,Secret Factory,1315.1,1313.1,2.0,0.15,1326.3,909.8,416.5,8.48,1452.71,Fast,Slow,0.5404,Low,1744
CHO-FUD-51000,Fudge Mallows,Chocolate,Lot's O' Nuts,The Other Factory,1315.1,1314.2,0.9,0.07,1326.3,949.5,376.8,8.48,1314.39,Fast,Fastest,0.7654,Low,1744
CHO-MIL-31000,Milk Chocolate,Chocolate,Wicked Choccy's,Lot's O' Nuts,1317.3,1317.1,0.2,0.02,1150.1,1326.2,-176.1,7.82,-737.67,Moderate,Fast,0.7654,Low,2095
CHO-MIL-31000,Milk Chocolate,Chocolate,Wicked Choccy's,Sugar Shack,1317.3,1436.9,-119.6,-9.08,1150.1,1100.6,49.5,7.82,207.26,Moderate,Slowest,0.5404,High,2095
CHO-MIL-31000,Milk Chocolate,Chocolate,Wicked Choccy's,Secret Factory,1317.3,1314.0,3.3,0.25,1150.1,905.5,244.6,7.82,1025.08,Moderate,Slow,0.6154,Low,2095
CHO-MIL-31000,Milk Chocolate,Chocolate,Wicked Choccy's,The Other Factory,1317.3,1315.1,2.2,0.17,1150.1,949.8,200.3,7.82,839.37,Moderate,Fastest,0.8404,Low,2095
CHO-NUT-13000,Nutty Crunch,Chocolate,Lot's O' Nuts,Wicked Choccy's,1328.6,1328.1,0.4,0.03,1293.3,1149.1,144.2,9.05,515.72,Fast,Moderate,0.6153,Low,1788
CHO-NUT-13000,Nutty Crunch,Chocolate,Lot's O' Nuts,Sugar Shack,1328.6,1441.5,-112.9,-8.5,1293.3,1102.2,191.1,9.05,683.34,Fast,Slowest,0.5403,High,1788
CHO-NUT-13000,Nutty Crunch,Chocolate,Lot's O' Nuts,Secret Factory,1328.6,1318.5,10.1,0.76,1293.3,899.8,393.4,9.05,1406.95,Fast,Slow,0.5403,Low,1788
CHO-NUT-13000,Nutty Crunch,Chocolate,Lot's O' Nuts,The Other Factory,1328.6,1319.6,9.0,0.67,1293.3,935.8,357.5,9.05,1278.49,Fast,Fastest,0.7653,Low,1788
CHO-SCR-58000,Scrumdiddlyumptious,Chocolate,Lot's O' Nuts,Wicked Choccy's,1321.3,1325.2,-3.9,-0.29,1305.2,1166.0,139.2,9.02,563.98,Fast,Moderate,0.6156,High,2026
CHO-SCR-58000,Scrumdiddlyumptious,Chocolate,Lot's O' Nuts,Sugar Shack,1321.3,1438.6,-117.2,-8.87,1305.2,1114.3,190.8,9.02,773.23,Fast,Slowest,0.5406,High,2026
CHO-SCR-58000,Scrumdiddlyumptious,Chocolate,Lot's O' Nuts,Secret Factory,1321.3,1315.6,5.8,0.44,1305.2,923.0,382.2,9.02,1548.62,Fast,Slow,0.5406,Low,2026
CHO-SCR-58000,Scrumdiddlyumptious,Chocolate,Lot's O' Nuts,The Other Factory,1321.3,1316.7,4.6,0.35,1305.2,960.2,345.0,9.02,1397.94,Fast,Fastest,0.7656,Low,2026
CHO-TRI-54000,Triple Dazzle,Chocolate,Wicked Choccy's,Lot's O' Nuts,1325.7,1320.5,5.2,0.39,1168.9,1284.3,-115.4,8.53,-444.01,Moderate,Fast,0.7653,Low,1924
CHO-TRI-54000,Triple Dazzle,Chocolate,Wicked Choccy's,Sugar Shack,1325.7,1440.3,-114.6,-8.65,1168.9,1112.4,56.4,8.53,217.2,Moderate,Slowest,0.5403,High,1924
CHO-TRI-54000,Triple Dazzle,Chocolate,Wicked Choccy's,Secret Factory,1325.7,1317.3,8.4,0.63,1168.9,920.8,248.1,8.53,954.75,Moderate,Slow,0.6153,Low,1924
CHO-TRI-54000,Triple Dazzle,Chocolate,Wicked Choccy's,The Other Factory,1325.7,1318.5,7.2,0.55,1168.9,958.9,210.0,8.53,808.07,Moderate,Fastest,0.8403,Low,1924
OTH-FIZ-56000,Fizzy Lifting,Sugar,Sugar Shack,Lot's O' Nuts,1273.5,1303.9,-30.4,-2.39,1032.6,1490.3,-457.7,7.88,-5.49,Fastest,Fast,0.366,High,6
OTH-FIZ-56000,Fizzy Lifting,Sugar,Sugar Shack,Wicked Choccy's,1273.5,1305.2,-31.7,-2.49,1032.6,841.9,190.7,7.88,2.29,Fastest,Fast,0.366,High,6
OTH-FIZ-56000,Fizzy Lifting,Sugar,Sugar Shack,Secret Factory,1273.5,1273.1,0.4,0.03,1032.6,702.3,330.4,7.88,3.96,Fastest,Slow,0.291,High,6
OTH-FIZ-56000,Fizzy Lifting,Sugar,Sugar Shack,The Other Factory,1273.5,1191.0,82.5,6.48,1032.6,776.4,256.2,7.88,3.07,Fastest,Fastest,0.441,High,6
OTH-GUM-21000,Wonka Gum,Other,Secret Factory,Lot's O' Nuts,1311.1,1321.0,-9.9,-0.75,822.5,1389.3,-566.8,2.39,-130.36,Slow,Moderate,0.5704,High,115
OTH-GUM-21000,Wonka Gum,Other,Secret Factory,Wicked Choccy's,1311.1,1314.1,-2.9,-0.22,822.5,993.4,-170.9,2.39,-39.31,Slow,Fast,0.6454,High,115
OTH-GUM-21000,Wonka Gum,Other,Secret Factory,Sugar Shack,1311.1,1349.7,-38.6,-2.94,822.5,1081.6,-259.1,2.39,-59.59,Slow,Slow,0.4954,High,115
